h_dim,run,seed,method,ari,nmi,time_s
8,0,22188,author,0.5731829091565142,0.651241965433204,0.38362598419189453
8,0,22188,cpu,0.49544747803800404,0.6128059841990661,0.10595822334289551
8,1,22189,author,0.5141936160058674,0.5976930092943237,0.3832519054412842
8,1,22189,cpu,0.5550228947013669,0.6477724967761511,0.09819817543029785
8,2,22190,author,0.5423416832723831,0.6485212220254878,0.38462138175964355
8,2,22190,cpu,0.4664276884996135,0.608900280009057,0.10028457641601562
8,3,22191,author,0.5979071255441819,0.6551368650369022,0.3850066661834717
8,3,22191,cpu,0.5378891037512692,0.6487551643744041,0.10900545120239258
8,4,22192,author,0.5781318440146536,0.6458859671382331,0.3802909851074219
8,4,22192,cpu,0.5370615573823007,0.632771364286705,0.10232162475585938
8,5,22193,author,0.46448378830170356,0.6113416148384533,0.38282132148742676
8,5,22193,cpu,0.5788514575927546,0.6499424686195182,0.10698437690734863
8,6,22194,author,0.567815334727396,0.6384985437136383,0.38118505477905273
8,6,22194,cpu,0.5889936992805349,0.6635913979143173,0.0995020866394043
8,7,22195,author,0.5777778653242058,0.6399969304249883,0.3841667175292969
8,7,22195,cpu,0.5949472710331658,0.6710532450917808,0.1300981044769287
8,8,22196,author,0.5102958417447285,0.6116843041727364,0.38257646560668945
8,8,22196,cpu,0.5683397024724947,0.6420727700153405,0.10138440132141113
8,9,22197,author,0.46925643787028753,0.5797229709771017,0.3800618648529053
8,9,22197,cpu,0.5623571723650171,0.6516073327952279,0.0986781120300293
16,0,22188,author,0.6860194989360338,0.7543492514544066,0.39275407791137695
16,0,22188,cpu,0.650342287356131,0.7428936053499597,0.13881492614746094
16,1,22189,author,0.6931178507456426,0.7572899529549786,0.43355274200439453
16,1,22189,cpu,0.6820636130149245,0.736964217715718,0.1343977451324463
16,2,22190,author,0.5811331675423312,0.7045785850696081,0.38588404655456543
16,2,22190,cpu,0.49336191050692896,0.6663800199855606,0.18211674690246582
16,3,22191,author,0.6946935017804403,0.7575527215132488,0.3839132785797119
16,3,22191,cpu,0.669106060165404,0.7436613258453737,0.1341249942779541
16,4,22192,author,0.5627346677234731,0.7223162729845507,0.38739562034606934
16,4,22192,cpu,0.6153995474617693,0.7256038596166611,0.1275484561920166
16,5,22193,author,0.649125781285812,0.7281098461234056,0.3860912322998047
16,5,22193,cpu,0.68395351895407,0.7443285972238977,0.12366867065429688
16,6,22194,author,0.6846071052174996,0.7463369250653794,0.38384079933166504
16,6,22194,cpu,0.6849434231124312,0.7472351111093513,0.1343543529510498
16,7,22195,author,0.6646083396176641,0.7450443819249081,0.389540433883667
16,7,22195,cpu,0.6450860831803987,0.7381266417731198,0.13471150398254395
16,8,22196,author,0.5643897032642474,0.7142350270554275,0.38764357566833496
16,8,22196,cpu,0.6409615457263025,0.73300747227884,0.13660025596618652
16,9,22197,author,0.6530973450700288,0.7366820923329173,0.38309693336486816
16,9,22197,cpu,0.6226197276326944,0.7131965810702636,0.12842845916748047
32,0,22188,author,0.7234475183248903,0.7840105659822012,0.41579318046569824
32,0,22188,cpu,0.6713146578942859,0.7586554042184759,0.18729710578918457
32,1,22189,author,0.6949635515029713,0.7714015072180113,0.4132425785064697
32,1,22189,cpu,0.7053023390986511,0.7478160321316476,0.18646740913391113
32,2,22190,author,0.726542717841912,0.788531927432071,0.41744256019592285
32,2,22190,cpu,0.6807410143665094,0.7537323719062712,0.1839313507080078
32,3,22191,author,0.6897606439468412,0.7743735259657814,0.408797025680542
32,3,22191,cpu,0.6955228223282819,0.7673603503754962,0.17410945892333984
32,4,22192,author,0.6337128280764024,0.7419456066068657,0.41180849075317383
32,4,22192,cpu,0.6985783281572321,0.753336609932906,0.18416404724121094
32,5,22193,author,0.754253427263177,0.7744848818213564,0.4124913215637207
32,5,22193,cpu,0.7107787089011409,0.7745473788740894,0.18021082878112793
32,6,22194,author,0.7440863811548498,0.792336817143999,0.4080815315246582
32,6,22194,cpu,0.6597341378043522,0.7533154382217079,0.1844649314880371
32,7,22195,author,0.67569825009393,0.7670348818826112,0.4070117473602295
32,7,22195,cpu,0.7002805413348313,0.7756287000756305,0.1837618350982666
32,8,22196,author,0.7157006646408189,0.7900066345879609,0.41040968894958496
32,8,22196,cpu,0.5852244864769626,0.7217243497905006,0.19304490089416504
32,9,22197,author,0.6616448866321548,0.746418923555635,0.41104722023010254
32,9,22197,cpu,0.7299485828513315,0.7905913237977222,0.18869400024414062
64,0,22188,author,0.691425377096125,0.7756852441267673,1.1718854904174805
64,0,22188,cpu,0.7232496624620992,0.7813160687926655,0.32558679580688477
64,1,22189,author,0.7236613666811974,0.7843859956097121,1.2087030410766602
64,1,22189,cpu,0.7167575331851155,0.7706767875250002,0.31737685203552246
64,2,22190,author,0.6783083786348906,0.7674047434443916,1.1807162761688232
64,2,22190,cpu,0.6951613482221911,0.7743399069662396,0.30438709259033203
64,3,22191,author,0.5805257670767591,0.7322102626047504,1.23541259765625
64,3,22191,cpu,0.7247423931190305,0.7712520307206393,0.31404948234558105
64,4,22192,author,0.6183083907305749,0.7332519698373715,1.2290141582489014
64,4,22192,cpu,0.7103106623018055,0.7760639546578396,0.3140861988067627
64,5,22193,author,0.509981583636563,0.7069117259867926,1.2319450378417969
64,5,22193,cpu,0.646181398248984,0.7424257022211769,0.31981801986694336
64,6,22194,author,0.7123246384194678,0.7871480645123343,1.1935129165649414
64,6,22194,cpu,0.7147192334148356,0.7719587165450082,0.31285977363586426
64,7,22195,author,0.6355495257698329,0.7460483355379685,1.1859614849090576
64,7,22195,cpu,0.5845875569200942,0.7411649777813167,0.31847500801086426
64,8,22196,author,0.6823081658495145,0.7491232745701053,1.177445411682129
64,8,22196,cpu,0.6823523826070527,0.7466848024526382,0.31434130668640137
64,9,22197,author,0.571859134858116,0.7297461492702128,1.2271592617034912
64,9,22197,cpu,0.6952865146502543,0.7735683313532334,0.3195149898529053
784,0,22188,author,0.7004744192749953,0.7659408890081026,8.812137365341187
784,0,22188,cpu,0.6960847886393151,0.7673774228639294,5.010024785995483
784,1,22189,author,0.5523171864227212,0.7120588922799198,7.9869914054870605
784,1,22189,cpu,0.6488305403885938,0.7234757971391681,5.016618013381958
784,2,22190,author,0.5768211337042769,0.736614473475836,8.048599481582642
784,2,22190,cpu,0.6755251976950627,0.7596503106960228,5.046441555023193
784,3,22191,author,0.7274290340276499,0.7744122125943605,12.242156267166138
784,3,22191,cpu,0.59292932911491,0.7308369996720723,5.585965871810913
784,4,22192,author,0.6809584935049416,0.7692135597763695,8.09536075592041
784,4,22192,cpu,0.7097271029308491,0.7721502303738026,5.0147011280059814
784,5,22193,author,0.7124466620525127,0.774024178415503,12.127387046813965
784,5,22193,cpu,0.5720995240148754,0.6845509192799428,5.519732236862183
784,6,22194,author,0.7067105874719141,0.7867972617150535,7.946795225143433
784,6,22194,cpu,0.6206940036753127,0.7238674154278318,4.9982006549835205
784,7,22195,author,0.737697987649271,0.7869387302849994,9.769787311553955
784,7,22195,cpu,0.6560117978550541,0.7623384640088813,5.588644742965698
784,8,22196,author,0.7008396346740097,0.7731542726035098,7.926820278167725
784,8,22196,cpu,0.7000803394174185,0.7735558257614235,4.990341663360596
784,9,22197,author,0.7085381106214763,0.7730508169859761,8.17547869682312
784,9,22197,cpu,0.7250295800502531,0.7860375852788631,5.0450897216796875
